"";"Title";"N.Article";"Authors";"Year";"Document.Type";"Source.Title";"Language";"Authors.Keywords";"Abstract";"ISSN";"Cited.by";"Publisher.Country";"Source"
"11";"A systematic mapping study on game-related methods for software engineering education";573;"Souza M.R.A., Veado L., Moreira R.T., Figueiredo E., Costa H.,";2018;"Review";"Information and Software Technology";"English";"Game development based learning; Game-based learning; Gamification; Software engineering education";"Context: The use of games in software engineering education is not new. However, recent technologies have provided new opportunities for using games and their elements to enhance learning and student engagement. Objective: The goal of this paper is twofold. First, we discuss how game-related methods have been used in the context of software engineering education by means of a systematic mapping study. Second, we investigate how these game-related methods support specific knowledge areas from software engineering. By achieving these goals, we aim not only to characterize the state of the art on the use of game-related methods on software engineering education, but also to identify gaps and opportunities for further research. Method: We carried out a systematic mapping study to identify primary studies which address the use, proposal or evaluation of games and their elements on software engineering education. We classified primary studies based on type of approaches, learning goals based on software engineering knowledge areas, and specific characteristics of each type of approach. Results: We identified 156 primary studies, published between 1974 and June 2016. Most primary studies describe the use of serious games (86) and game development (57) for software engineering education, while Gamification is the least explored method (10). Learning goals of these studies and their development of skills are mostly related to the knowledge areas of “Software Process”, “Software Design”, and “Professional Practices”. Conclusions: The use of games in software engineering education is not new. However, there are some knowledge areas where the use of games can still be further explored. Gamification is a new trend and existing research in the field is quite preliminary. We also noted a lack of standardization both in the definition of learning goals and in the classification of game-related methods. © 2017 Elsevier B.V.";"09505849";43;"Brazil";"Scopus; Web of Science"
"12";"A systematic review of mobile game-based learning in STEM education";86;"Gao F., Li L., Sun Y.,";2020;"Article";"Educational Technology Research and Development";"English";"Game-based learning; Gamification; Mobile learning; STEM education";"Research on mobile game-based learning has been gaining attention in the past few years. To understand the potential of mobile game-based learning in STEM education, a systematic review was conducted. Based on a set of inclusion and exclusion criteria, 30 articles published during the years of 2010 through 2019 were included. Analyses were conducted to identify the contexts of studies, research foci, research methodologies, measures, research instruments, the mobile game features and so on. Based on the analyses, a comprehensive understanding of the research in mobile game-based learning in STEM education was presented, and insights and directions for future research were provided. The systematic review suggests that, although current research has greatly increased our understanding of mobile game-based learning in STEM education, future research is needed to address the fundamental question of when mobile game-based learning is an appropriate approach for learning in STEM education and when is not. © 2020, Association for Educational Communications and Technology.";"10421629";2;"United States";"Scopus; Web of Science"
"13";"A systematic review of research on e-book-based language learning";168;"Zhang R., Zou D., Xie H., Au O.T.S., Wang F.L.,";2020;"Article";"Knowledge Management and E-Learning";"English";"E-book; Language learning; Mobile learning; Review; Technology-assisted learning";"This study presents a systematic review of previous research on ebook-based language learning. E-book-based language learning has been increasingly investigated in the field of language education, whereas previous review studies of relevant literature were relatively low in volume and incomprehensive from aspects of research participants and research perspectives. In the present study, we identified 52 relevant journal articles on e-book-based language learning published in the recent decade, coding them from three dimensions: methodology, e-book devices and features, and research issues and findings. The results indicated that: (a) most studies on e-book-based language learning were of a large sample size and one-session investigation; (b) pre-school children and university students were the most frequently investigated sample groups; (c) computers and tablets were the most frequently used devices; (d) multimedia, feedback giving, gamification and personalisation were the four features most frequently applied in enhancing the efficiency of e-book-based language learning; (e) researchers collected and processed data mainly through pre- and post-tests and group comparisons; (f) learning outcomes, learning behaviours and learners’ psychological states were investigated in most studies, whereby the findings indicated overall positive effects of e-book on language learning. © 2020 Hong Kong Bao Long Accounting And Secretarial Limited. All rights reserved.";"20737904";2;"Hong Kong";"Scopus; Web of Science"
"14";"A systematic review on incentive-driven mobile health technology: As used in diabetes management";760;"de Ridder M., Kim J., Jing Y., Khadra M., Nanan R.,";2017;"Article";"Journal of Telemedicine and Telecare";"English";"diabetes; Incentive; mHealth; motivation; self care";"Introduction: Mobile health (mHealth) technologies have been shown to improve self-management of chronic diseases, such as diabetes. However, mHealth tools, e.g. apps, often have low rates of retention, eroding their potential benefits. Using incentives is a common mechanism for engaging, empowering and retaining patients that is applied by mHealth tools. We conducted a systematic review aiming to categorize the different types of incentive mechanisms employed in mHealth tools for diabetes management, which we defined as incentive-driven technologies (IDTs). As an auxiliary aim, we also analyzed barriers to adoption of IDTs. Methods: Literature published in English between January 2008–August 2014 was identified through searching leading publishers and indexing databases: IEEE, Springer, Science Direct, NCBI, ACM, Wiley and Google Scholar. Results: A total of 42 articles were selected. Of these, 34 presented mHealth tools with IDT mechanisms; Education was the most common mechanism (n = 21), followed by Reminder (n = 11), Feedback (n = 10), Social (n = 8), Alert (n = 5), Gamification (n = 3), and Financial (n = 2). Many of these contained more than one IDT (n = 19). The remaining eight articles, from which we defined barriers for adoption, were review papers and a qualitative study of focus groups and interviews. Discussion: While mHealth technologies have advanced over the last five years, the core IDT mechanisms have remained consistent. Instead, IDT mechanisms have evolved with the advances in technology, such as moving from manual to automatic content delivery and personalization of content. Conclusion: We defined the concept of IDT to be core features designed to act as motivating mechanisms for retaining and empowering users. We then identified seven core IDT mechanisms that are used by mHealth tools for diabetes management and classified 34 articles into these categories. © 2016, © The Author(s) 2016.";"1357633X";16;"Australia";"Scopus; Web of Science"
"15";"A themed game to learn about nursing theories and models: A descriptive study";38;"San Martín-Rodríguez L., Escalada-Hernández P., Soto-Ruiz N.,";2020;"Article";"Nurse Education in Practice";"English";"Education; Gamification; Nursing education research; Nursing students; Nursing theory";"One of the most demanding challenges for teachers in undergraduate nursing programmes is teaching the intangible aspects of the discipline, such as its conceptual and theoretical bases. This study aimed to evaluate nursing students’ satisfaction and knowledge acquisition after taking part in a specific themed game to learn about nursing theories and models. A descriptive, cross-sectional, quantitative, interventional study was undertaken involving 105 nursing degree students. After taking part in a themed game called “The Nurse Theorist game”, the knowledge acquired by the students was assessed plus their satisfaction with the game. The data was analysed using descriptive statistics. The results indicated that the average score for knowledge was 8.28 points (on a scale of 0–10); the overall average score for satisfaction was 7.60 points out of 10. The scores obtained for satisfaction with each aspect of the game ranged from 2.90 to 3.90 out of 5. All the students recommended using this game for this subject in the years to come. To conclude, the proposal for a themed game specifically for learning nursing theories and models has been revealed to be effective in terms of knowledge acquisition and student satisfaction. © 2020 Elsevier Ltd";"14715953";NA;"Spain";"Scopus; Web of Science"
"16";"A web-based review game as a measure of overall course knowledge in pharmacotherapeutics";333;"Dell K.A., Chudow M.B.,";2019;"Article";"Currents in Pharmacy Teaching and Learning";"English";"Gamification; Performance comparison; Pharmacy education; Web-based game";"Background and purpose: Implementation of games is common in pharmacy education, but limited information exists about the relationship between students' game performances and course grades. Our study was designed to determine if scores on a comprehensive web-based review game correlate to overall pharmacotherapeutics course and course series grades. Educational activity and setting: Two cohorts of students in Pharmacotherapeutics IV, the last course in a four course series, were administered a web-based quiz review game (Kahoot!) at the end of the course. Student performance on the game was compared to grades throughout the Pharmacotherapeutics course sequence to determine if the games were reflective of the students' performances. All students enrolled in Pharmacotherapeutics IV in 2016 and 2017 were included in the analysis. Pearson correlation was performed on the scores from the review game compared to the grades in the pharmacotherapeutics course series. Findings: A total of 197 students, 111 in the 2016 cohort and 86 in the 2017 cohort, were included in the analysis. The correlation coefficient (r) for the review scores and Pharmacotherapeutics IV course grade was 0.399 and 0.461 for the 2 cohorts (p < 0.001). Almost all component comparisons between the review scores and the other pharmacotherapeutics course grades were also significantly correlated (p < 0.01). Student performance on the review game significantly correlated with pharmacotherapeutics course grades. Review games are fun tools to review course content and can serve as an effective method to determine student understanding, progression, and knowledge. © 2019 Elsevier Inc.";"18771297";3;"United States";"Scopus; Web of Science"
"17";"Adapting gamified learning systems using educational data mining techniques";136;"Daghestani L.F., Ibrahim L.F., Al-Towirgi R.S., Salman H.A.,";2020;"Article";"Computer Applications in Engineering Education";"English";"adaptive system; data structure; e-learning; engagement; gamification; gamified course";"Artificial intelligence (AI) provides opportunities to improve the effectiveness of e-learning by increasing students' engagement. Adaptive e-learning uses AI to support individual learners by responding to their different learning needs which can be determined by analyzing their navigation history of e-learning systems using data mining methods. Educational data mining (EDM) discovers new patterns of learning and teaching to facilitate the process of decision-making to serve education improvement. Gamification is another way of increasing students' engagement by using game elements in a nongame context. In this paper, the gamification technique and EDM methods were used in combination with adaptive learning to increase the students' engagement and learning performance. An adaptive gamified learning system (AGLS) was developed which combines gamification, classification, and adaptation techniques to increase the effectiveness of e-learning. This paper studies the impact of gamification and adaptive gamification on the effectiveness of e-learning through increasing students' engagement and learning performance. AGLS was applied to the data structure course. Results showed that adaptive gamification has a positive effect on students' engagement and learning performance compared to just gamification. © 2020 Wiley Periodicals, Inc.";"10613773";3;"Saudi Arabia";"Scopus; Web of Science"
"18";"Affluent Gaming Experience Could Fail Gamification in Education: A Review";659;"Chee C.-M., Wong D.H.-T.,";2017;"Review";"IETE Technical Review (Institution of Electronics and Telecommunication Engineers, India)";"English";"Digital games; Education; Extrinsic reward; Gamification; Gaming; Learning";"The presence of gaming natives has drawn our concern on their response to gamification in education and effect of gamified learning material. This study intends to critically review pitfalls and criticism of gamification in education, particularly on the evil side of simplification, essence of hedonic feelings of game, and effect on learning motivation for the purpose of shedding light on how to enhance its existing engagement model. In addition, this paper also pinpoints common fallacy of pursuing gamification among educators and practitioners and challenges faced by gamification designers. Throughout the review, it is suspected that affluent gaming experience could dampen the effectiveness of gamification and future research endeavour is called for validating such effect. © 2017 IETE.";"02564602";3;"Malaysia";"Scopus; Web of Science"
"19";"An adaptive framework for the creation of exergames for intangible cultural heritage (ICH) education";310;"Grammatikopoulou A., Laraba S., Sahbenderoglu O., Dimitropoulos K., Douka S., Grammalidis N.,";2019;"Article";"Journal of Computers in Education";"English";"Adaptive framework; Exergames; Intangible cultural heritage education; Sensorimotor learning; Serious games";"As of the early twentieth century, a significant body of research has been published that shows how effective game-based learning and gamification techniques can be, compared to other methods. These technologies are also very important for the learning and transmission of intangible cultural heritage (ICH) creations, which include, among others, dance, theater, and other skills where body motion has a primary role. However, creating games can be time consuming and usually demands a significant effort. Therefore, this paper focuses on the design and development of a novel framework for the rapid design of body-motion-based customizable game-like applications. This framework consists of two components: (i) an interface that allows the user to design the game and capture the motion data, and (ii) a customizable game for learning and training using off-the-shelf motion-capture sensors like the Microsoft Kinect. The game is automatically configured based on the output of the game design interface. In order to evaluate the proposed system, three pilot-use cases have been selected: (i) the Latin dance Salsa, (ii) the Greek traditional dance Tsamiko, and (iii) the Walloon (Belgian) traditional dance. Moreover, small-scaled experiments concerning the three different use cases were conducted, where both beginners and experts evaluated the game-like application for dance learning. Furthermore, a group of dance experts were asked to design and generate their own game and evaluate their experience. Results showed that the use of such a game-like application could be efficient, as positive feedback was obtained. In summary, participants found that the generated game-like application meets its objectives; it is generally efficient and satisfactory and offers a novel tool for ICH transmission and education. Last but not the least, the dance experts expressed their interest in developing more such games in the future, since they characterized the game design module as easy and intuitive to use. © 2018, Beijing Normal University.";"21979987";7;"Turkey";"Scopus; Web of Science"
"21";"An analysis on self-management and treatment-related functionality and characteristics of highly rated anxiety apps";78;"Drissi N., Ouhbi S., Janati Idrissi M.A., Ghogho M.,";2020;"Review";"International Journal of Medical Informatics";"English";"Anxiety; M-health; Mental health; Mobile apps; Mobile mental health";"Background and objective: Anxiety is a common emotion that people often feel in certain situations. But when the feeling of anxiety is persistent and interferes with a person's day to day life then this may likely be an anxiety disorder. Anxiety disorders are a common issue worldwide and can fall under general anxiety, panic attacks, and social anxiety among others. They can be disabling and can impact all aspects of an individual's life, including work, education, and personal relationships. It is important that people with anxiety receive appropriate care, which in some cases may prove difficult due to mental health care delivery barriers such as cost, stigma, or distance from mental health services. A potential solution to this could be mobile mental health applications. These can serve as effective and promising tools to assist in the management of anxiety and to overcome some of the aforementioned barriers. The objective of this study is to provide an analysis of treatment and management-related functionality and characteristics of high-rated mobile applications (apps) for anxiety, which are available for Android and iOS systems. Method: A broad search was performed in the Google Play Store and App Store following the Preferred Reporting Items for Systematic reviews and Meta-Analysis (PRISMA) protocol to identify existing apps for anxiety. A set of free and highly rated apps for anxiety were identified and the selected apps were then installed and analyzed according to a predefined data extraction strategy. Results: A total of 167 anxiety apps were selected (123 Android apps and 44 iOS apps). Besides anxiety, the selected apps addressed several health issues including stress, depression, sleep issues, and eating disorders. The apps adopted various treatment and management approaches such as meditation, breathing exercises, mindfulness and cognitive behavioral therapy. Results also showed that 51% of the selected apps used various gamification features to motivate users to keep using them, 32% provided social features including chat, communication with others and links to sources of help; 46% offered offline availability; and only 19% reported involvement of mental health professionals in their design. Conclusions: Anxiety apps incorporate various mental health care management methods and approaches. Apps can serve as promising tools to assist large numbers of people suffering from general anxiety or from anxiety disorders, anytime, anywhere, and particularly in the current COVID-19 pandemic. © 2020 Elsevier B.V.";"13865056";2;"United Arab Emirates";"Scopus; Web of Science"
"22";"An approach for planning and deploying gamification concepts with social networks within educational contexts";350;"Toda A.M., do Carmo R.M.C., da Silva A.P., Bittencourt I.I., Isotani S.,";2019;"Article";"International Journal of Information Management";"English";"Assessment; Case study; Gamification; Social network";"Gamification planning has been a topic of discussion in the last years since it can be used to increase performance, engagement, and motivation of end users. When properly applied in educational settings, gamification can lead to better learning. Furthermore, it can be boosted when tied to social networks. However, according to the literature, there are three main concerns regarding this topic: (a) instructors and teachers does not have the resources to plan and develop gamification strategies into their classes; (b) gamification needs a systematic approach to achieve the desired positive results; and (c) inexistence of systematic approaches that connect and help in the design of gamification and social network tasks within these contexts. Thus, this work proposes a solution to help instructors and teachers to plan and deploy gamification concepts with social network features in learning environments. In this paper, we detailed our approach depicting the set of items to analyze and compare it with other solutions that are focused on education. Then, it was conducted a case study over a programming course (N = 40) to analyze the planning and deployment phases. Our results demonstrated that our approach is the first to consider the stakeholders (i.e. instructors and teachers) as part of the process. Moreover, even though there are still some obstacles to overcome, the gamified strategies that were created achieved positive acceptance among the students and professor. © 2018 Elsevier Ltd";"02684012";24;"Brazil";"Scopus; Web of Science"
"23";"An Evaluation of Gamified Training: Using Narrative to Improve Reactions and Learning";687;"Armstrong M.B., Landers R.N.,";2017;"Article";"Simulation and Gaming";"English";"attitudes; game elements; game fiction; game-based learning; gamification; gamified learning; learning; narrative; psychology; training";"Background and Aim. Gamification is growing in popularity in education and workplace training, but it is unclear which game elements are conducive to learning. The theory of gamified learning suggests that one type of gamification, the addition of game fiction/narrative, can be used to improve learning outcomes, and the Technology-Enhanced Training Effectiveness Model (TETEM) suggests individual differences impact the strength of this effect. From this theoretical basis, this study gamified a training module with game fiction in order to improve outcomes over the original training. Results and Conclusion. In a study of 273 learners, trainees were significantly more satisfied with training enhanced with game fiction over the control text (d = 0.65) but did not differ in declarative knowledge scores by condition. Further, trainees in the control condition scored higher on procedural knowledge than trainees in the game fiction condition, although the effect was smaller (d = −0.40). Thus, the use of narrative improved reactions to training but at some cost to training effectiveness. Attitudes toward game-based learning were also tested as a moderator of the condition-outcome relationship. © 2017, © The Author(s) 2017.";"10468781";36;"United States";"Scopus; Web of Science"
