"";"Title";"Year";"Source title";"Cited by";"DOI";"Link";"Abstract";"Author Keywords";"Index Keywords";"Language of Original Document";"Document Type";"Open Access";"Source"
"162";"Investigating serious games that incorporate medication use for patients: Systematic literature review";2020;"JMIR Serious Games";5;"10.2196/16096";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097267411&doi=10.2196%2f16096&partnerID=40&md5=34a912de504641ef2d1533ea90d3feb3";"Background: The United States spends more than US $100 billion annually on the impact of medication misuse. Serious games are effective and innovative digital tools for educating patients about positive health behaviors. There are limited systematic reviews that examine the prevalence of serious games that incorporate medication use. Objective: This systematic review aimed to identify (1) serious games intended to educate patients about medication adherence, education, and safety; (2) types of theoretical frameworks used to develop serious games for medication use; and (3) sampling frames for evaluating serious games on medication use. Methods: PubMed, Scopus, and Web of Science databases were searched for literature about medication-based serious games for patients. Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines were followed for article selection. Results: Using PRISMA guidelines, 953 publications and 749 unique titles were identified from PubMed, Scopus, and Web of Science. A total of 16 studies featuring 12 unique serious games were included with components of medication adherence, education, and safety, published from 2003 to 2019. Of the 12 games included, eight serious games were tested in adolescents, three games were tested in young adults, and one game was tested in adults. Most studies (n=11) used small sample sizes to test the usability of serious games. Theoretical frameworks identified in the 12 serious games included information, motivation, and behavior theory; social cognitive theory; precede-proceed model; middle-range theory of chronic illness; adult learning theory; experiential learning theory; and the theory of reasoned action. Existing reviews explore serious games focused on the management of specific disease states, such as HIV, diabetes, and asthma, and on the positive impact of serious game education in each respective disease state. Although other reviews target broad topics such as health care gamification and serious games to educate health care workers, no reviews focus solely on medication use. Serious games were mainly focused on improving adherence, whereas medication safety was not widely explored. Little is known about the efficacy and usability of medication-focused serious games often because of small and nonrepresentative sample sizes, which limit the generalizability of existing studies. Conclusions: Limited studies exist on serious games for health that incorporate medication use. The findings from these studies focus on developing and testing serious games that teach patients about medication use and safety. Many of these studies do not apply a theoretical framework in the design and assessment of these games. In the future, serious game effectiveness could be improved by increasing study sample size and diversity of study participants, so that the results are generalizable to broader populations. Serious games should describe the extent of theoretical framework incorporated into game design and evaluate success by testing the player’s retention of learning objectives. © Olufunmilola Abraham.";"Games; Medication adherence; Patient safety; Systematic review; Video games";"";"English";"Review";"All Open Access, Gold, Green";"Scopus"
"163";"Gamifying parenting education using an app developed for pacific and other new zealand families (Play kindly): Qualitative study";2020;"JMIR Serious Games";NA;"10.2196/15647";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097503939&doi=10.2196%2f15647&partnerID=40&md5=a4c1d7dbbdadf5c55dd4d069be1b33e7";"Background: Play Kindly is a gamified animated app designed to address common behavioral problems in childhood. The interface is designed to appeal to Pacific people, a population group with a higher risk of developing clinically significant behavioral problems than most other ethnic groups in New Zealand. Objective: The aim of this study is to explore the opinions of parents and professionals about the acceptability, usability, and content of Play Kindly. Methods: We used qualitative and Pacific and Māori research methodologies. A total of five focus groups with 45 parents and 12 individual interviews with professionals were conducted. The five focus groups consisted of 2 pan-Pacific groups, 1 Māori group, 1 open group, and 1 group of young Pacific adults or prospective parents. The professionals were from a range of disciplines, and the majority had expertise in early childhood, parenting interventions, or research in this field. Results: Play Kindly appealed to both parents and professionals. Participants related to the scenarios, which were created in collaboration with a playwright and animator. Although most participants liked the Pacific feel, there was some disagreement about how culturally specific the app should be. A range of issues with usability and gamification techniques were highlighted, likely attributed to the low budget and lack of initial co-design with parents as well as professionals with specific expertise in parenting. A number of parents and professionals felt that the parenting strategies were overly simplified and did not take into account the context in which the behavior occurred. Professionals suggested narrowing the focus of the app to deliver two important parenting messages: playing with your child and positively reinforcing desired behaviors. Conclusions: Play Kindly is the first culturally adapted parenting app of its kind designed for Pacific parents and other New Zealanders with children 2-5 years of age. This app has potential in Pacific communities where there are limited culturally specific parenting resources. The results of this study will guide improvements of the app prior to testing it in an open trial. © 2000 JMIR Publications. All Rights Reserved.";"MHealth; Pacific peoples; Parenting";"";"English";"Article";"All Open Access, Gold, Green";"Scopus"
"164";"Harnessing single-stranded DNA binding protein to explore protein–protein and protein–DNA interactions";2020;"Biochemistry and Molecular Biology Education";NA;"10.1002/bmb.21324";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077040945&doi=10.1002%2fbmb.21324&partnerID=40&md5=0621ead08598f76f32c04a9549816e5f";"Proteins must interact with a variety of other cellular components to properly perform their functions. We have developed a series of five experiments based on the robust bacterial single-stranded DNA binding protein (SSB) to characterize both known and unknown protein–protein and protein–DNA interactions. Students work in groups to generate and process data from electrophoretic mobility shift assays (EMSA), yeast two-hybrid, far Western, chromatin immunoprecipitation (ChIP), and fluorescence microscopy experiments, including choosing a novel condition for each. A gamification approach was used to encourage student participation and laboratory safety. Student learning was assessed using pre- and post-surveys and course grade data. The results indicate a clear increase in both content knowledge and confidence in the topics presented. Ranking of course activities indicated that performing the hands-on laboratory exercises was the most valuable course component, and over half of the students would choose to take another course with a similar gamification component. Each of the five laboratory experiments can be performed in combination with each other or integrated separately into a related course, and the gamification structure can be applied to any course. © 2019 International Union of Biochemistry and Molecular Biology";"ChIP; gamification; interaction; protein-ligand; yeast two-hybrid";"DNA binding protein; single stranded DNA; binding site; chemistry; chromatin immunoprecipitation; curriculum; education; female; fluorescence microscopy; human; isolation and purification; male; questionnaire; student; Western blotting; Binding Sites; Blotting, Western; Chromatin Immunoprecipitation; Curriculum; DNA, Single-Stranded; DNA-Binding Proteins; Educational Measurement; Female; Humans; Male; Microscopy, Fluorescence; Students; Surveys and Questionnaires";"English";"Article";"";"Scopus"
"165";"Promotion of healthy nutrition and physical activity lifestyles for teenagers: A systematic literature review of the current methodologies";2020;"Journal of Personalized Medicine";5;"10.3390/jpm10010012";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081026927&doi=10.3390%2fjpm10010012&partnerID=40&md5=a39016b9d64d5fda740bcc84ebc70476";"Amid obesity problems in the young population and apparent trends of spending a significant amount of time in a stationary position, promoting healthy nutrition and physical activities to teenagers is becoming increasingly important. It can rely on different methodologies, including a paper diary and mobile applications. However, the widespread use of mobile applications by teenagers suggests that they could be a more suitable tool for this purpose. This paper reviews the methodologies for promoting physical activities to healthy teenagers explored in different studies, excluding the analysis of different diseases. We found only nine studies working with teenagers and mobile applications to promote active lifestyles, including the focus on nutrition and physical activity. Studies report using different techniques to captivate the teenagers, including questionnaires and gamification techniques. We identified the common features used in different studies, which are: paper diary, diet diary, exercise diary, notifications, diet plan, physical activity registration, gamification, smoking cessation, pictures, game, and SMS, among others. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.";"Diet; Education; Gamification; Health; Healthy lifestyles; Methods; Mobile devices; Nutrition; Physical activity; Teenagers";"asthma; dietary intake; food frequency questionnaire; health behavior; healthy lifestyle; human; Human immunodeficiency virus; mobile application; natural language processing; nutrition; obesity; outcome assessment; physical activity; questionnaire; Review; smoking; smoking cessation; systematic review";"English";"Review";"All Open Access, Gold, Green";"Scopus"
"166";"Innovative trends and practices in ESL for education 4.0 among higher learning institutions";2020;"International Journal of Scientific and Technology Research";NA;"";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083112846&partnerID=40&md5=709eb1fc51ab2fcd19e3cfbe56f0eabd";"Extensive application of technological resources and tools in learning, with a shift from traditional teaching and learning to technology infused instruction characterize Education 4.0. This results in emergence of new trends and innovative practices in teaching and learning. Hence, the current conceptual paper is aimed at providing an insight to teacher trainees on latest trends and innovations in ESL classroom. The new paradigm of Education 4.0 emphasizes on students as the centre of education, whereby Internet connectivity and innovative technologies such as gamification and Massive Online Open Courses allow creation of more dynamic materials for students to learn independently or in collaboration with their peers. The application of these technologies in ESL classroom help to create interactive and engaging learning environment that supports the development of students’ creativity, communication, collaboration, problem solving and critical thinking skills. Besides, the innovative practices provide students with unlimited access to information and knowledge, which facilitates personalized and life-long learning. The implication of this conceptual paper could be reflected in professional development of teacher trainees, as they get to update themselves with information on the latest trends in ESL teaching and learning and the importance of adopting such trends in their instructional practices as a response towards Education 4.0. © 2020 IJSTR.";"Education 4.0; ESL teaching and learning; Innovative";"";"English";"Article";"";"Scopus"
"167";"The effectiveness of embodied pedagogical agents and their impact on students learning in virtual worlds";2020;"Applied Sciences (Switzerland)";7;"10.3390/app10051739";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081985637&doi=10.3390%2fapp10051739&partnerID=40&md5=68eca156797f0df0d2a1eeda4036c34a";"Over the last years, the successful integration of virtual reality in distance education contexts has led to the development of various frameworks related to the virtual learning approaches. 3D virtual worlds are an integral part of the landscape of education and demonstrate novel learning possibilities that can open new directions in education. An important aspect of virtual worlds relates to the intelligent, embodied pedagogical agents that are employed to enhance the interaction with students and improve their overall learning experience. The proper design and integration of embodied pedagogical agents in virtual learning environments are highly desirable. Although virtual agents constitute a vital part of virtual environments, their exact impact needs are yet to be addressed and assessed. The aim of the present study is to thoroughly examine and deeply understand the effect that embodied pedagogical agents have on the learning experience of students as well as on their performance. We examine how students perceive the role of pedagogical agents as learning companions during specific game-based activities and the effect that their assistance has on students' learning. A concrete experimental study was conducted in AVARES, a 3D virtual world educational environment that teaches the domain of environmental engineering and energy generation. The results of the study point out that embodied pedagogical agents can improve students' learning experience, enhance their engagement with learning activities and, most of all, improve their knowledge construction and performance. © 2020 by the authors.";"3D virtual worlds; Embodied pedagogical agents; Engagement; Gamification; Learning effectiveness; Students' learning experience";"";"English";"Article";"All Open Access, Gold";"Scopus"
"168";"A systematic review of research on e-book-based language learning";2020;"Knowledge Management and E-Learning";2;"10.34105/j.kmel.2020.12.006";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090514715&doi=10.34105%2fj.kmel.2020.12.006&partnerID=40&md5=880e8481781ab12e1eed133dfd91c80f";"This study presents a systematic review of previous research on ebook-based language learning. E-book-based language learning has been increasingly investigated in the field of language education, whereas previous review studies of relevant literature were relatively low in volume and incomprehensive from aspects of research participants and research perspectives. In the present study, we identified 52 relevant journal articles on e-book-based language learning published in the recent decade, coding them from three dimensions: methodology, e-book devices and features, and research issues and findings. The results indicated that: (a) most studies on e-book-based language learning were of a large sample size and one-session investigation; (b) pre-school children and university students were the most frequently investigated sample groups; (c) computers and tablets were the most frequently used devices; (d) multimedia, feedback giving, gamification and personalisation were the four features most frequently applied in enhancing the efficiency of e-book-based language learning; (e) researchers collected and processed data mainly through pre- and post-tests and group comparisons; (f) learning outcomes, learning behaviours and learners’ psychological states were investigated in most studies, whereby the findings indicated overall positive effects of e-book on language learning. © 2020 Hong Kong Bao Long Accounting And Secretarial Limited. All rights reserved.";"E-book; Language learning; Mobile learning; Review; Technology-assisted learning";"";"English";"Article";"All Open Access, Gold";"Scopus"
"169";"Food waste reduction: A test of three consumer awareness interventions";2020;"Sustainability (Switzerland)";6;"10.3390/su12030907";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081203338&doi=10.3390%2fsu12030907&partnerID=40&md5=0e8495161ed84b0230d6a0e61d8d75ee";"Halving food waste by 2050 as per the Sustainable Development Goal 12.3 is key to securing a food system that is sustainable. One approach to reducing household food waste is through education campaigns. We recruited 501 households divided into three types of intervention groups and compared with a control group to better understand the efficacy of diverse education campaign approaches. Food waste interventions included a passive approach (handouts), a community engagement approach, and a gamification approach. We conducted waste audits, household surveys (pre-and post-intervention), and a focus group at the end of the campaign. The passive and gamification groups had similarly high levels of participation, while participation in the community group was very low. The passive group and the gamification group had higher self-reported awareness of food wasting after the campaign and lower food wastage than the control group. Waste audits found marginally significant differences between the game group and the control (p = 0.07) and no difference between the other campaign groups and the control group in edible food wasted. Frequent gamers were found to generate less edible food waste than infrequent gamers. We conclude that the evidence about the potential for gamification as an effective education change tool is promising and we recommend further study. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.";"Awareness campaigns; Consumer behaviour; Food waste; Gamification; Intervention";"consumption behavior; education; food waste; sustainability; Sustainable Development Goal";"English";"Article";"All Open Access, Gold";"Scopus"
"170";"The use of innovative learning methods in the system of modern economic education in the Russian Federation";2020;"TEM Journal";NA;"10.18421/TEM91-42";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086509240&doi=10.18421%2fTEM91-42&partnerID=40&md5=6debef0fb6277ad2f4db2abee2c22031";"We proposed ways to solve the issues by applying the latest learning models used in the formal and informal education processes, in particular, the methods of case study, brainstorming, gamification, and mass open online courses; considered the relevance of using the methods and their implementation in the economic and business education; and provided examples of successful application of the state-of-theart teaching modes in Russia. The study has shown that a more thorough implementation of the theoretical background of the education process can be achieved by combining innovative and conventional methods. The obtained results can be used in developing curricula and education programs, as well as in the process of bringing the education system of the Russian Federation in compliance with the modern requirements. © 2020 Aleksey Pashkov at al.";"Brainstorming; Case study method; Economic education; Entrepreneurship; Gamification; Innovative learning methods; Mass open online courses";"";"English";"Article";"";"Scopus"
"171";"Do Badges Affect Intrinsic Motivation in Introductory Programming Students?";2020;"Simulation and Gaming";5;"10.1177/1046878119884996";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075139224&doi=10.1177%2f1046878119884996&partnerID=40&md5=e2db56f540058bbd0ea0a75aa39ae695";"Background. Programming is a challenging and highly important topic for introducing learners to our digital world. Research has shown that motivation plays a key role in programming performance. Gamification using digital badges has the potential to influence motivation, provide social recognition and encourage learner participation. More research is recommended to evaluate its motivational impact in different contexts. Intervention. This research explores the effects of badges on the intrinsic motivation levels of introductory programming students within a higher education institution. The course is offered during the first year of the programme. We report the results of a baseline study without badges and four subsequent badge experiments of different designs over a four-year period. Methods. This quasi-experimental study followed a pre-test/post-test design to measure the effects of badges on the intrinsic motivation levels of university-level introductory programming students. Badges were designed and implemented. Feedback via focus groups and a post-badge survey was collected. Results. Findings are inconclusive as the quantitative results suggest that badges did not increase intrinsic motivation scores. Contrastingly, badge survey and qualitative data indicate that badges were received more positively on average. Discussion. We analyse and discuss the results within the context of motivation and the programming discipline, and discuss external factors that may impact the relationship between gamification and motivation. Conclusion. Further research is necessary to investigate whether gamification, through the use of digital badges, can foster positive intrinsic motivational results, particularly in the well-known challenging domain of introductory programming. © The Author(s) 2019.";"digital badges; gamification; higher education; intrinsic motivation; introductory programming";"";"English";"Article";"";"Scopus"
"172";"Motivation by gamification: Adapting motivational tools of massively multiplayer online role-playing games (MMORPGs) for peer-to-peer assessment in connectivist massive open online courses (cMOOCs)";2020;"International Review of Education";4;"10.1007/s11159-020-09821-6";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080990855&doi=10.1007%2fs11159-020-09821-6&partnerID=40&md5=c7fba6c68902a15b854b0271ce4f17d0";"In the first decade of the 21st century, distance learning (usually subject to course fees and resulting in formal certification) was complemented by free-of-charge open learning courses with unlimited numbers of participants and no final certificate. Termed massive open online courses (MOOCs), these soon fell into different categories, depending on their concept. Among them are connectivist massive open online courses (cMOOCs) which emphasise a collaborative approach to learning. However, while initial enrolment is indeed massive, completion rates are very low and cMOOCs notoriously lack an appropriate method of evaluating learning progress and motivational resources. The author of this article suggests that one way of addressing this problem might be to adapt motivational formative assessment tools used in massively multiplayer online role-playing games (MMORPGs) to cMOOCs. He argues that some characteristics of MMORPGs can be effectively incorporated in cMOOCs, thus benefiting from the motivational potential of MMORPGs. He cautions, however, that even if MMORPGs (and ongoing, low-stakes formative assessment in general) are motivational, they can only be applied to cMOOCs if the idea of formative assessment is not in tension with connectivist principles. Hence, the author argues for their compatibility, and builds on peer-to-peer assessment as a solution for resource allocation problems with low instructor–learner ratio. © 2020, The Author(s).";"Connectivism; Connectivist massive open online courses (cMOOCs); Formative assessment; Gamification; Massively multiplayer online role-playing games (MMORPGs); Motivation";"assessment method; higher education; learning; virtual reality";"English";"Article";"All Open Access, Hybrid Gold";"Scopus"
"173";"Integrating simulation tasks into an outdoor location-based game flow";2020;"Multimedia Tools and Applications";4;"10.1007/s11042-019-07931-4";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068750395&doi=10.1007%2fs11042-019-07931-4&partnerID=40&md5=30d821173138677fe4218540dc8d2744";"Gamification and game-based learning have been established as powerful tools in education. Location-based games (geogames) have been established following mainly a ‘seek-and-find’ game-mechanic, challenging mechanics like simulations are rarely used. We describe an approach for creating an educational location-based game (geogame). The central design problem consists in integrating an ecological simulation into the location-based game flow. We show how to combine these two game mechanics by simplifying complex simulations while maintaining their validity. In an empirical study we evaluate our geogame with secondary school students (N = 329). Our quasi-experimental pre-post-test design focuses on the game-related enjoyment provided by a simplified simulation task within a geogame compared to a more complex desktop simulation and to a geogame without simulation. The results show that the players of the Geogame spend much less time on interacting with the simulation than on other tasks. Nevertheless, the simulation within the geogame contributes positively to the game playing experience. Player enjoyment is even found to be slightly higher in the simulation geogame than in the indoor simulation. A critical threshold of time for using simulations within location-based game mechanics is discussed and related design-pattern for geogames are presented to support educators and game developers in the co-design of challenging location-based games. This study contributes to locate ecological simulations in areas where they actually take place. Complex topics and competencies in education become “real” for players in an outdoor experience. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.";"Digital game-based learning; Education for sustainable development; Game design; Mobile learning; Simulation game";"Ecology; Education computing; Location; Mechanics; Digital game-based learning; Education for sustainable development; Game design; Mobile Learning; Simulation games; E-learning";"English";"Article";"";"Scopus"
"174";"Design and implementation of a molecular imaging elective for third-year pharmacy students";2020;"Currents in Pharmacy Teaching and Learning";NA;"10.1016/j.cptl.2019.11.006";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075830075&doi=10.1016%2fj.cptl.2019.11.006&partnerID=40&md5=a2f32a58e22c741dada60b8b915cd827";"Objective: To design, implement, and evaluate a molecular imaging elective course that would expose Doctor of Pharmacy (PharmD) students to fundamentals of various imaging modalities and their pre-clinical and clinical applications. Methods: The “Surveys of Multi-Modality Imaging” course is a two-credit hour elective course offered to third-year PharmD and doctoral students. Experiential learning methods including active learning application-based exercises were used to supplement didactic lectures in the form of field trips (with follow-up debriefings), small group team-based tasks, hands-on demonstrations, visual modelling, gamification with problem sets, concept maps regarding given modalities, and concluding with written summary reports and formal in-class group presentations. In addition to standard course evaluations, a pre- and post-course survey were conducted to assess the students' confidence regarding course content. Results: Since its implementation in 2013, 101 students have completed the course with 72% being PharmD students (n = 73) and the remainder being doctoral students in pharmaceutical science (n = 28). Pre- and post-assessments completed by the students the last two offerings (n = 40 of a possible 43) indicated a shift in students' self-reported confidence in discussing imaging modalities from a total of 2.4% confidence (pre-course) to 97.4% confidence (post-course). Also, post-course survey indicated that 77.5% (n = 31 of 40 participants) students strongly agreed that our immersive and experiential learning activities were beneficial to overall learning for this elective. Conclusion: Students who participated in this innovative experiential learning-grounded course gained an appreciation for molecular imaging and its value and role in modern drug therapy. © 2019 Elsevier Inc.";"Active learning; Elective; Experiential learning; Molecular imaging; Pharmacy education";"Article; communication skill; confidence; course content; course evaluation; critical thinking; doctoral education; experiential learning; graduate student; human; knowledge; medical information; molecular imaging; multimodal imaging; paramedical education; personality; pharmaceutics; pharmacy student; priority journal; self report";"English";"Article";"";"Scopus"
"175";"Benefits of an Escape Room as a Novel Educational Activity for Radiology Residents";2020;"Academic Radiology";9;"10.1016/j.acra.2019.04.021";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066312837&doi=10.1016%2fj.acra.2019.04.021&partnerID=40&md5=a392f88b75929c2762c55b72057a569a";"Rationale and Objectives: We created a radiology Escape Room, a competitive game where a team of players must discover clues and solve a mystery to escape a “locked” room. To succeed, players must collaborate and think critically and creatively. Our objectives were to provide a novel team-building activity, teach interesting content about radiology as a specialty, cultivate grit, and share the game with other programs. Materials and Methods: Escape Rooms were held during orientation (BOOT Camp) for incoming radiology residents and for upper level residents and faculty with advanced content (four teams totaling 20 residents and faculty). We repeated the Escape Room 27 times for 144 residents from more than 10 countries at Radiological Society of North America (RSNA) 2018. Results: Players were engaged and competitive. They were able to connect the activity to their future responsibilities – analyzing knowledge under pressure (being on call), communicating effectively (conveying results and recommendations), having the dexterity and motor skills required for physical puzzles (hand-on procedures), being able to multi-task and come up with differential diagnoses under extreme stress and time pressure (being on call). A post-RSNA survey confirmed satisfaction with the activity, with overall enjoyment receiving the highest rating. Conclusion: It is feasible to create a portable, inexpensive Escape Room as a novel educational platform for radiology residents. Combining knowledge-based challenges and technical skills in a live-action game simulated a real-life situation in which vital patient information must be collected and reported concisely and accurately. A Game Guide is available to program directors and medical educators upon request. © 2019 The Association of University Radiologists";"Educational games; Escape room; gamification; millennials; radiology; residents";"adult; Article; dexterity test; female; game; human; male; medical education; motor performance; priority journal; radiology; resident; skill; stress; team building; education; North America; questionnaire; radiography; Humans; Internship and Residency; North America; Radiography; Radiology; Surveys and Questionnaires";"English";"Article";"All Open Access, Bronze";"Scopus"
"176";"Can Academic Achievement in Primary School Students Be Improved Through Teacher Training on Emotional Intelligence as a Key Academic Competency?";2020;"Frontiers in Psychology";3;"10.3389/fpsyg.2019.02976";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078723059&doi=10.3389%2ffpsyg.2019.02976&partnerID=40&md5=4b2a1a6757c96e818c603a06e32c35bb";"Background: The primary aim of the current study was to develop a multi-methodological teacher training program based on emotional intelligence (EI) as a key competency in order to improve student academic achievement based on two methods: face-to-face instruction and game-based e-learning instruction. Methods: Seventy-four primary education teachers and their 2069 students were randomly assigned to three groups. The first group of teachers (n = 23) were trained to use a face-to-face method. The objective of the training was that the teachers would be able to implement EI into their teaching to improve academic achievement in their students (n = 645) using face-to-face instruction. For the second group (n = 28), the teachers were trained to use an e-learning gamification method. Similar to the first group, the objective of the training was that the teachers would be able to implement EI into their teaching to improve academic achievement in their students (n = 758) using e-learning gamification instruction. The third group of teachers (n = 23) served as the controls and did not receive any special training, nor did they implement EI into their teaching (n = 666). Results: Implementation of EI into classroom teaching effectively improved academic achievement in primary school students using both methods. However, there was a greater increase in academic achievement and higher teacher satisfaction in the game-based e-learning group. No significant differences in student achievement were observed in the control group. Conclusion: Emotional intelligence as a key academic competency. © Copyright © 2020 Pozo-Rico and Sandoval.";"academic achievement; emotional intelligence; methodology and didactics; primary school; satisfaction; teacher continued training";"";"English";"Article";"All Open Access, Gold, Green";"Scopus"
"177";"Incorporating gamification into website design to facilitate effective communication";2020;"Theoretical Issues in Ergonomics Science";NA;"10.1080/1463922X.2019.1645920";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070812951&doi=10.1080%2f1463922X.2019.1645920&partnerID=40&md5=fffa0705f2f4fa7909ad65158e99400e";"Gamification is not simply a temporary trend but would result in huge changes in life, education and marketing. Under the trend, design researchers should focus on the importance of gamification and apply gamification in the improvement of effective communication. This study aims to apply gamification to website design for facilitating effective communication. Two experimental websites, including a gamification incorporated website and a no-gamification incorporated website, are constructed. Users are recruited to use individual websites. After the website experience, task questions, system usability scale, online questionnaire and retrospective thinking aloud are applied to collect user feedback. The data analyses reveal that ‘gamification incorporated website’ could not promote the usability of websites, while learnability, pleasure, engagement and satisfaction are enhanced. Overall speaking, applying gamification to websites could actually enhance communication efficiency. The gamification design guidelines are eventually proposed to assist future designers in constructing meaningful gamification design with communication efficiency. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.";"effective communication; Game; gamification; website design";"";"English";"Article";"";"Scopus"
"178";"Using Design-Science Based Gamification to Improve Organizational Security Training and Compliance";2020;"Journal of Management Information Systems";13;"10.1080/07421222.2019.1705512";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080972489&doi=10.1080%2f07421222.2019.1705512&partnerID=40&md5=1d7e03eac23ee2926c9c56c94db9038e";"We conducted a design-science research project to improve an organization’s compound problems of (1) unsuccessful employee phishing prevention and (2) poorly received internal security training. To do so, we created a gamified security training system focusing on two factors: (1) enhancing intrinsic motivation through gamification and (2) improving security learning and efficacy. Our key theoretical contribution is proposing a recontextualized kernel theory from the hedonic-motivation system adoption model that can be used to assess employee security constructs along with their intrinsic motivations and coping for learning and compliance. A six-month field study with 420 participants shows that fulfilling users’ motivations and coping needs through gamified security training can result in statistically significant positive behavioral changes. We also provide a novel empirical demonstration of the conceptual importance of “appropriate challenge” in this context. We vet our work using the principles of proof-of-concept and proof-of-value, and we conclude with a research agenda that leads toward final proof-in-use. © 2020, © 2020 Taylor & Francis Group, LLC.";"awareness; computer security; design science research; flow; gamification; hedonic motivation; immersion; security compliance; security education; SETA; system adoption model; training";"Design; Gamification; Learning systems; Motivation; Security of data; awareness; Design-science researches; flow; Hedonic motivations; immersion; Security compliance; Security education; SETA; System adoption; Personnel training";"English";"Article";"";"Scopus"
"179";"Promoting social and emotional learning and subjective well‐being: Impact of the “aislados” intervention program in adolescents";2020;"International Journal of Environmental Research and Public Health";4;"10.3390/ijerph17020609";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078256226&doi=10.3390%2fijerph17020609&partnerID=40&md5=72161c4e7ac787bc91364797897a9bbf";"The aim of this study is to experimentally assess the effects of an intervention program through a video game called “Aislados” for the improvement of subjective well‐being, mental health and trait emotional intelligence of a sample of adolescents (n = 187). We used well‐established measures with appropriate psychometric properties. The study used a quasi‐experimental design of pre‐test/post‐test repeated measurements with a control group. First, a multivariate analysis of variance (MANOVA) and then descriptive analyses and variance analyses (ANOVAs) were carried out by the adolescents randomly assigned to the experimental and control conditions. Then, a multivariate analysis of covariance (MANCOVA) was performed on the study’s variables as a whole. Descriptive and covariance analyses of the post‐test scores were carried out (ANCOVAs post‐test, co‐varying pre‐test scores), in order to demonstrate the impact of the program. The effect size was reckoned (Cohen’s d). The results confirm statistically‐significant differences in: Health‐ Related Quality of life, positive affect and mental health. The study provides an effective intervention tool which has been experimentally validated. The overall results allow for emphasizing the importance of the implementation of programs aimed at encouraging social and emotional learning throughout adolescence as protective resources in fostering emotional and behavioral adjustment in adolescents. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.";"Adolescence; Gamification; Secondary education; Social and emotional learning; Video game; Well‐being";"learning; mental health; quality of life; secondary education; young population; adolescence; adolescent; article; controlled study; education; effect size; emotional intelligence; experimental design; female; human; human experiment; learning; major clinical study; male; mental health; multivariate analysis of covariance; multivariate analysis of variance; pretest posttest design; program impact; quality of life; randomized controlled trial; video game; wellbeing; child; child welfare; emotion; health promotion; procedures; psychology; quality of life; social learning; Spain; Adolescent; Child; Child Welfare; Emotions; Health Promotion; Humans; Mental Health; Quality of Life; Social Learning; Spain; Video Games";"English";"Article";"All Open Access, Gold, Green";"Scopus"
"180";"Gamification technique in engineering education to improve learnability";2020;"Journal of Engineering Education Transformations";NA;"10.16920/jeet/2020/v33i0/150083";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099588572&doi=10.16920%2fjeet%2f2020%2fv33i0%2f150083&partnerID=40&md5=3a164cf37359c36d171acaec5b6f0718";"Manufacturing of superior quality products at the reduced machining time increases the complexity in machining operation and warrants operator training in specific functional areas which augments the cost. In the current paper, an attempt is made to impregnate the degree of gaming in helping the improvement of machining skills. Gamification enhances the levels of attention by learning through frequent failures and consequently helps in incremental learning. The amalgamation of game mechanics and dynamics in non-gaming applications is a theme of interest in various fields such as education, handling sophisticated equipment, health care, and armed forces etc., in the last few years. The role of the academia is to develop new methodologies and tools which include digital games along with their gamification techniques in the contemporary learning practices. Furthermore, game techniques, gamification practices in education and e-learning are given special emphasis. A special discussion on engineering games, gamification platforms and empirical surveys is presented with a focus on education sector. © 2020, Rajarambapu Institute Of Technology. All rights reserved.";"Education; Gamification; Manufacturing; Serious games; Training";"";"English";"Article";"All Open Access, Gold";"Scopus"
