"";"Title";"Authors";"Year";"Document.Type";"Source.Title";"Language";"Authors.Keywords";"Abstract";"ISSN";"Cited.by";"Publisher.Country";"Source"
"11";"MedChemVR: A Virtual Reality Game to Enhance Medicinal Chemistry Education";"Abuhammad, A; Falah, J; Alfalah, SFM; Abu-Tarboush, M; Tarawneh, RT; Drikakis, D; Charissis, V";2021;"Article";"MULTIMODAL TECHNOLOGIES AND INTERACTION";"English";"medicinal chemistry; virtual reality; gamification; e-learning; education; human-computer interaction; inclusive education";"Medicinal chemistry (MC) is an indispensable component of the pharmacy curriculum. The pharmacists' unique knowledge of a medicine's chemistry enhances their understanding of the pharmacological activity, manufacturing, storage, use, supply, and handling of drugs. However, chemistry is a challenging subject for both teaching and learning. These challenges are typically caused by the inability of students to construct a mental image of the three-dimensional (3D) structure of a drug molecule from its two-dimensional presentations. This study explores a prototype virtual reality (VR) gamification option, as an educational tool developed to aid the learning process and to improve the delivery of the MC subject to students. The developed system is evaluated by a cohort of 41 students. The analysis of the results was encouraging and provided invaluable feedback for the future development of the proposed system.";NA;1;"Switzerland";"Web of Science"
"12";"A scoping review of randomised controlled trials to assess the value of gamification in the higher education of health science students";"Arruzza, E; Chau, M";2021;"Review";"JOURNAL OF MEDICAL IMAGING AND RADIATION SCIENCES";"English";"Education; Simulation training; Gamification; Health education; Radiography; Teaching";"Introduction: In today's ever-changing technological landscape, novel pedagogical methods are very attractive for medical radiation educators trying to enhance their students' educational experience. This scoping review aimed to assess the evidence regarding the value of gamification as part of health science undergraduate education, in comparison to conventional teaching curriculum. Methods: A comprehensive systematic literature search was conducted in MEDLINE, EMC are and Cochrane databases. Articles were eligible if they were randomised controlled trials comparing the use of gamification for undergraduate health profession students, with conventional teaching methods. Outcomes included knowledge (ie., information acquisition), skills (ie., knowledge application) and perceived benefit. Screening, data extraction and critical appraisal was conducted by two reviewers independently. Results: Eleven RCT studies were included (n = 997). Three of eight reporting studies discovered significant findings for knowledge acquisition scores favouring the intervention group. Varying results were demonstrated in the skills domain across six studies. Perceived benefits including student motivation and satisfaction levels demonstrated positive findings in all but one of six reporting studies. Discussion: Educators should supplement methods with gamified learning rather than replace them, consider group-based gamification, and employ methods at irregular intervals. Conclusion: The findings of this review suggest that gamification may be advantageous for health science undergraduates. Gamification positively impacts student satisfaction and motivation, though its capacity to enhance students' knowledge acquisition and application necessitates further research.";"1939-8654";0;"USA";"Web of Science"
"13";"Effects of Teaching Games for Understanding Integrated Sport Education Model on College Students' Football Cognitive Performance and Motor Skills";"Jia, ZR";2021;"Article";"REVISTA DE CERCETARE SI INTERVENTIE SOCIALA";"English";"Teaching Games for Understanding; sport education model; football education; cognitive performance; motor skills; social interaction; social skills";"Football is internationally popular. It does not need particularly tall and large figures for playing football that it is extremely suitable for the figure of oriental people. For this reason, football is suitable for being promoted domestically. In the football teaching in PE curricula, it is discovered that most students are lack of interests in football. The effect of Teaching Method of Physical Education is an important issue concerned by physical education related people. PE workers should absorb innovative thinking and concepts with multiple methods to match the time trend, and teachers should understand the complementary relationship among teaching methods. Applying experimental design to the quasi-experimental study, 224 students at a university in Hainan Province are selected as the experimental research subjects for the 16-week (3 hours per week for total 48 hours) experimental teaching study. An experimental class (112 students) is taught with Teaching Games for Understanding integrated sport education model, and the control class (112 students) remains general traditional instruction. Suggestions are proposed according to the results, expecting to help students' adaptive development and allow students acquiring sense of achievement through inspiration, creation, fun, and gamification teaching methods to enjoy learning fun and achieve the idea of learning with fun in football education.";"1583-3410";0;"Romania";"Web of Science"
"14";"Gamification and SQL: An Empirical Study on Student Performance in a Database Course";"Morales-Trujillo, ME; Garcia-Mireles, GA";2021;"Article";"ACM TRANSACTIONS ON COMPUTING EDUCATION";"English";"Gamification; game-related method; empirical study; computer science; software engineering; SQL";"Gamification, defined as the integration of game elements into non-gaming environments, is a promising approach to increase student engagement, motivation, and performance in Computer Science and Software Engineering education. This viewpoint encouraged the creation of QueryCompetition, a web system that allows students to practice SQL in a competitive environment. Our goal was to obtain empirical evidence on how gamifying elements, such as challenges, points, and leaderboards, integrated into QueryCompetition, affect student performance, motivation, and user experience. We carried out a quasi-experimental study with two groups in a Database course. One group used a gamified version of QueryCompetition having access to points and leaderboards, while the other used a non-gamified version with no access to the above mentioned elements. Quantitative and qualitative datawere collected through tests and a survey. The results showed that there was a statistically significant improvement in student performance in the gamified group as compared to the non-gamified group. In addition, a higher motivationwas observed in the gamified group. The empirical evidence presented in this article supports the claim that inclusion of challenges, points, and leaderboards, together with the competitive nature of QueryCompetition, impacts positively on student performance and motivation to practice SQL.";"1946-6226";0;"USA";"Web of Science"
"15";"A Serious Game for Mediated Education on Traffic Behavior and Safety Awareness";"Gounaridou, A; Siamtanidou, E; Dimoulas, C";2021;"Article";"EDUCATION SCIENCES";"English";"media applications in teaching and learning; educational games; educational technology; serious games; gamification; computer game effects; game-based learning; traffic education; traffic safety";"Computer games are considered a useful tool for educational purposes. Alternative media applications such as serious games combine edification with challenge and entertainment. Thus, learning becomes enjoyable, more comfortable, and more efficient. The paper presents the implementation of an educational computer game regarding traffic behavior awareness through the main stages of analysis, design, development, and evaluation, aiming at investigating the contribution of gamification in traffic safety. The game was developed as an advanced media education approach in Unreal Engine, encompassing various adventures. The game hero's tasks are to move into the virtual city to complete a mission, follow road safety rules, and experience the adventures either as a pedestrian or as a vehicle driver. Research hypotheses/questions are tested concerning the gaming impact and the audience engagement through first-person storytelling to communicate and perceive traffic regulations. The results reveal that a properly developed educational game could become more engaging, amusing, and efficient. It could also enhance traffic awareness through experiential and mediated learning, also fostering social responsibility.";NA;0;"Switzerland";"Web of Science"
"16";"Virtual Avatar Coaching With Community Context for Adult-Child Dyads with Low Income";"McGuirt, JT; Enahora, B; Dyson, OL; Tripicchio, GL; Mallard, L; Rhea, CK";2021;"Article";"JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR";"English";"virtual reality; avatar; child; parent; low-income; food environment";"Objective: Examine the acceptability of an evidence-based, contextually tailored, virtual avatar coaching approach for nutrition education among adult-child dyads with low income. Design: Structured observations and semistructured interviews. Setting: Low-income communities in 2 midsized urban areas. Participants: Fifteen African American adult and child (aged 5-10 years old) dyads recruited from community agencies. Phenomenon of Interest: Structured observation during the use of the virtual avatar coaching program and qualitative feedback on program experience after using the program. Analysis: Transcripts were independently coded by 2 trained coders. Content analysis was conducted to determine trends and patterns in responses, and salient quotes were extracted from the manuscripts. Results: The program generated dialogue between the children and adults around preferences and dietary habits. Adults and children described the program as being helpful, informative, motivational, and fun. Adults and children liked that the avatar acknowledged them at a personal level, provided accountability, and was tailored to them and their environment. Children wanted the ability to customize the avatar, more gamification, and avatar demonstration of healthy behaviors. Children felt the program would improve their health behaviors and were interested in using it again. Conclusions and Implications: This study highlights information that can be used to improve avatarbased programs for nutrition education with children and their adult caregivers who have low income. Future work should assess the impact of user customization experience, program impact on dietary behaviors, and resources required to scale and maintain the program with community agencies.";"1499-4046";0;"USA";"Web of Science"
"17";"Could Gamification Be a Protective Factor Regarding Early School Leaving? A Life Story";"Guerrero-Puerta, L; Guerrero, MA";2021;"Article";"SUSTAINABILITY";"English";"gamification; adolescence; game-based learning; early school leaving; dropout; well-being; mental health; life story; grounded theory";"The European Union has recognized the close relationship between mental health, well-being, and education, encouraging studies and whole school interventions that work in the interrelationship between mental health and school, especially in aspects related to Early School Leaving (ESL). Literature shows that there are research gaps in this regard, but there are some inklings to think that innovative teaching methods can improve both adolescent ' s mental health and reduce the rates of ESL. The main objective of this article was to find out how the use of game-based teaching techniques affects the well-being of students at risk of ESL. The life story of one young student that has left school early has been studied, focusing on the impact that gamification had in his scholar trajectory and well-being. Data analysis was carried using the constructivist version of the grounded theory. Results showed a certain degree of interrelation between all three aspects. Pointing that a period of gamification can have a positive effect in school engagement as a result of better levels of wellbeing, but also, that if this methodology is not maintained or accompanied it can cause a rebound effect acting as a risk factor to ESL.";NA;0;"Switzerland";"Web of Science"
"18";"Kahoot! as a Tool to Improve Student Academic Performance in Business Management Subjects";"Martinez-Jimenez, R; Pedrosa-Ortega, C; Liceran-Gutierrez, A; Ruiz-Jimenez, MC; Garcia-Marti, E";2021;"Article";"SUSTAINABILITY";"English";"gamification; Kahoot!; higher education; academic performance; business management";"The new framework for learning requires the use of new technologies, such as m-learning or game-based learning programs. Gamification using this type of applications has been implemented in higher education contexts, enhancing students' satisfaction, motivation, and class attendance. The present study refers to the introduction of new technologies and gamification through the use of the application Kahoot!, with the main objective being to analyze the relationship between the use of this gamification tool and the students' learning results, which are measured by their academic marks. The results show a positive relationship between students' results on the Kahoot! tests and the student's final mark. Additionally, we demonstrate that students' academic results improve when Kahoot! is used as an evaluation tool, taking into account improved student efficiency and a lower amount of failed grades.";NA;0;"Switzerland";"Web of Science"
"19";"A Game-Based Online Tool to Measure Cognitive Functions in Students";"Berg, V; McMahon, M; Rogers, SL; Garrett, M; Manley, D; Miller, G";2021;"Article";"INTERNATIONAL JOURNAL OF SERIOUS GAMES";"English";"Assessment; Design-based Research; Cognitive Assessment; Education; Gamification; Cognitive Functions";"Cognitive assessments can be expensive, lengthy and fatiguing for students and are often conducted in an artificial clinical context. In an effort to make the assessments more fun, researchers have started to introduce game elements to traditional cognitive tasks and training. This comes with a number of challenges. The main challenge is to develop an engaging tool that at the same time reliably assesses cognitive constructs in students. To address these challenges, this research aims to improve cognitive assessment with a new game-based assessment app that has been designed and developed in collaboration with researchers, teachers, students, and software engineers based on established cognitive theories, and subsequently validated through iterative testing in real world settings. The iterative development process is based on design-based research and includes cycles of design explorations, testing, analyses, redesign, and evaluation with students in authentic educational settings. The knowledge gained from the iterative process of designing a valid cognitive function app can inform other researchers who are aiming to develop cognitive assessment tools in an educational context.";"2384-8766";1;"Italy";"Web of Science"
"20";"Analysis of the Use and Integration of the Flipped Learning Model, Project-Based Learning, and Gamification Methodologies by Secondary School Mathematics Teachers";"Hossein-Mohand, H; Trujillo-Torres, JM; Gomez-Garcia, M; Hossein-Mohand, H; Campos-Soto, A";2021;"Article";"SUSTAINABILITY";"English";"educational technologies; digital competence; active methodologies; Flipped Learning model; Project-Based Learning; Gamification";"In the didactics of mathematics, many technological resources can be used with teaching strategies, techniques, models, and methodologies that facilitate the teaching-learning process. Pedagogical models such as Flipped Learning and active methodologies such as Project-Based Learning and Gamification have a relevant role in education. Objectives. (1) To identify the variables of teaching practices, ratios, and mathematics teacher training indicators that could influence the choice of different study models or methodologies. Method. A total of 73 teachers from the Autonomous City of Melilla were included in a cross-sectional study. Teachers filled out a validated questionnaire with 35 questions regarding mathematics and teacher training, information and communication technology (ICT) uses, resources and mastery, communication, and collaboration. Results. The statistical analyses revealed significant positive influences between the Flipped Learning model, Project-Based Learning, and Gamification with the evaluated items. Furthermore, Project-Based Learning showed a negative association with two items of the teaching practice indicator. Conclusion. The exchange of information and content through online spaces, participation, and collaboration in center projects related to digital technologies and educational software to teach mathematics had a significant impact on the choice of Flipped Learning model and active methodologies.";NA;0;"Switzerland";"Web of Science"
"21";"Can You Escape Sepsis? Using a Healthcare Escape Room as an Innovative Approach to Nursing Education";"Dacanay, AP; Sibrian, J; Wyllie, C; Sorrentino, E; Dunbar, G";2021;"Article";"CLINICAL NURSE SPECIALIST";"English";"adult learning principles; best practices; clinical excellence; escape room; innovation; learner engagement; nursing education; nursing retention; nursing satisfaction; patient care outcomes; sepsis";"Purpose/Objectives The purpose of this article is to provide the clinical nurse specialist with an interactive, creative, and fun approach using an escape room to increase the retention and application of knowledge about caring for patients with sepsis and improve patient care outcomes. Description of the Project This project involved the design of a healthcare-based escape room, where clinical nurses and interprofessional learners engaged in a series of puzzles and problem-solving experiences to apply clinical judgment and critical thinking about patient care. Theory and Frameworks Knowles' theory of adult learning guided the development of this gamified learning. Outcome The clinical nurse specialist was critical to the success of the escape room. The escape room created an innovative learning environment, expanding opportunities to engage staff and promote high-quality care for best patient outcomes. Conclusion The benefits of incorporating adult learning principles with gamification-based education as a teaching strategy are evident in the feedback and overwhelmingly positive responses received from participants. The successes of the sepsis escape room have presented opportunities to continue supporting progressive, fun, and evidence-based learning environments and positively impact both nursing education and patient care outcomes.";"0887-6274";0;"USA";"Web of Science"
"22";"Spaced Education With ABSITE Quest Resulting in Improved American Board of Surgery In-Training Examination Performance";"Gough, BL; Gerges, M; Weinberger, J";2021;"Article";"JOURNAL OF SURGICAL EDUCATION";"English";"ABSITE; spaced education; microlearning; gamification; question bank";"OBJECTIVE: The American Board of Surgery In-Training Examination (ABSITE) is an annual exam taken by general surgery residents as a cognitive assessment of the knowledge gained throughout each year of training. Several question banks are available for ABSITE preparation. However, ABSITE Quest (AQ) utilizes a method called spaced education which has been demonstrated to help with retaining information longer and improve exam performance. This study hypothesizes that using this method will help residents improve their ABSITE performance. DESIGN: Retrospective survey data was collected from residents who participated in AQ, including postgraduate year (PGY) level, as well as 2019 and 2020 ABSITE percentiles. AQ user data was used to match respondent's total number of questions completed and daily engagement level to the survey data. Paired, single-tailed student's t test was used to evaluate the significance of ABSITE percentile change between 2019 and 2020 among AQ users. SETTING: ChristianaCare, Newark, DE, United States. Nonclinical. PARTICIPANTS: All ABSITE Quest users were surveyed (n = 390), of which 104 responded. 21 responses were from PGY1 residents and were excluded, resulting in a total of 83 responses. RESULTS: The mean percentile difference of AQ users from 2019 to 2020 was +15.8 (p < 0.00001). When categorizing by the total number of questions completed, high users demonstrated a mean percentile difference of +15.3 (p = 0.00002), average users had a difference of +19.1 (p = 0.00029), and low users showed a percentile difference of +1.2 (p = 0.45244). When categorizing by daily engagement level, high users demonstrated a mean percentile difference of +17.9 (p < 0.00001), low users had a mean percentile difference of +15.3 (p = 0.00124), and minimal users showed a mean percentile change of -5.7. CONCLUSIONS: The use of the spaced education method with ABSITE Quest, especially in users with a greater number of questions completed and high levels of daily engagement, correlated with a significant improvement on ABSITE performance. (C) 2020 Association of Program Directors in Surgery. Published by Elsevier Inc. All rights reserved.";"1931-7204";0;"USA";"Web of Science"
"23";"Effects of Gamification on Surgical Duration and Outcomes in Patients Undergoing Fixation of Intertrochanteric Hip Fractures";"Hockman, T; Colley, R; Taylor, BC; Coovert, B; Warmoth, P; Wolff, T; Lariccia, A";2021;"Article";"JOURNAL OF SURGICAL EDUCATION";"English";"intertrochanteric femur fracture; gamification; long cephalomedullary nail";"OBJECTIVE: To compare surgical duration and clinical outcomes with associated complications in surgeons using gamification techniques for resident education versus those surgeons who do not. DESIGN: Retrospective, cohort study. Level III evidence. Surgical interventions included long cephalomedullary nailing with gamification techniques compared to long cephalomedullary nailing alone. Main outcome measurements were total fluoroscopy time, operative time, hospital length of stay, discharge status, and complications. SETTING: Urban Level 1 Trauma Center. PARTICIPANTS: One fourty-eight adult patients with operative intertrochanteric femur fractures from January 2010 to January 2019. RESULTS: There were lower total operative times (45.6 vs. 57.1 minutes, p =< 0.01) and fluoroscopy times (1.6 vs. 2.1 minutes, p = 0.01) in the gamification group. There were no significant differences between groups in patient demographics, fracture pattern, postoperative complications, length of hospital stay, total follow-up, total ICU stay time, or discharge to extended care facility versus home. CONCLUSIONS: Gamification techniques with use of long cephalomedullary nails are a valid approach to the treatment of intertrochanteric femur fractures. This approach demonstrates equivalent outcomes postoperatively to nongamification treatment of intertrochanteric femur fractures, with the potential advantage of decreased operative and fluoroscopic times. (C) 2020 Association of Program Directors in Surgery. Published by Elsevier Inc. All rights reserved.";"1931-7204";0;"USA";"Web of Science"
"24";"How to play a MOOC: Practices and simulation";"De Notaris, D; Canazza, S; Mariconda, C; Paulon, C";2021;"Article";"ENTERTAINMENT COMPUTING";"English";"MOOC; Augmented learning; Gamification; Dramas; Education";"Massive Open Online Courses are important online study resources. They aim at providing online education to an increasingly large and heterogeneous audience: school pupils, university students or professionals who intend to acquire or develop their skill to better respond to market needs. The growing number of learners (more than 100 million globally at the moment, https://www.classcentral.com/report/mooc-stats-2019/) and courses (over 11 thousand, ibidem) reveals new and unprecedented scenarios in lifelong learning paths. Offering educational products to such an audience requires producers - not only private individuals but also public entities - to evaluate new teaching methods and methodologies for distance learning, in order to encourage participation and reduce their dropping out. Using gamification within an online course seems to contribute to the growth of users' participation rate, as well as to increase the course completion rate. In this work, the authors will show the interactive solutions that two Italian universities, the University of Naples Federico II - with its Federica Web Learning branch - and the University of Padua set up for their MOOC-based courses.";"1875-9521";0;"ENGLAND";"Web of Science"
